PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41604288","Interpretable machine learning model using dual-energy CT for predicting adverse histopathological status in gastric cancer: A multicenter study","Liu Y, Zhao S, Chen D, Yuan M, Ji Q, Chen L, Gu Y, Zhang R, Wang H, Li Y, Liang Y, Li Z, Cao W, Li L, Zheng Y, Gao J, Zhao Z.","Eur J Radiol. 2026 Jan;194:112473. doi: 10.1016/j.ejrad.2025.112473. Epub 2025 Oct 13.","Liu Y","Eur J Radiol","2026","2026/01/28","","","10.1016/j.ejrad.2025.112473"
"41603076","Use of Automation Technologies and Data Mining in Speech Recognition for Autism","Mao R, Zhu Y.","Brain Behav. 2026 Feb;16(2):e71229. doi: 10.1002/brb3.71229.","Mao R","Brain Behav","2026","2026/01/28","PMC12848528","","10.1002/brb3.71229"
"41601915","Improving medication error classification using a reasoning large language model","Krifors A, Beskow T, Jonsson M, Lindner KJ, Calås J, Arwsbo V, Sandström K, Norström C.","JAMIA Open. 2026 Jan 24;9(1):ooag004. doi: 10.1093/jamiaopen/ooag004. eCollection 2026 Feb.","Krifors A","JAMIA Open","2026","2026/01/28","PMC12832951","","10.1093/jamiaopen/ooag004"
"41597287","An AI-Driven Clinical Decision Support Framework Utilizing Female Sex Hormone Parameters for Surgical Decision Guidance in Uterine Fibroid Management","Öz I, Yegin EE, Öz AU, Ulukaya E.","Medicina (Kaunas). 2025 Dec 19;62(1):1. doi: 10.3390/medicina62010001.","Öz I","Medicina (Kaunas)","2025","2026/01/28","PMC12842902","","10.3390/medicina62010001"
"41596454","AI-Based Prediction of Gene Expression in Single-Cell and Multiscale Genomics and Transcriptomics","Pălăștea EA, Matache IM, Radu E, Henegariu O, Bucur O.","Int J Mol Sci. 2026 Jan 13;27(2):801. doi: 10.3390/ijms27020801.","Pălăștea EA","Int J Mol Sci","2026","2026/01/28","PMC12841435","","10.3390/ijms27020801"
"41596325","Addressing Unmet Needs in Heart Failure with Preserved Ejection Fraction: Multi-Omics Approaches to Therapeutic Discovery","Kim T, Sheen M, Ryan D, Joseph J.","Int J Mol Sci. 2026 Jan 9;27(2):673. doi: 10.3390/ijms27020673.","Kim T","Int J Mol Sci","2026","2026/01/28","PMC12840841","","10.3390/ijms27020673"
"41596321","Post-Mortem Biomarkers in Sudden Cardiac Death: From Classical Biochemistry to Molecular Autopsy and Multi-Omics Forensic Approaches","Sacco MA, Mastrangelo H, Neri G, Aquila I.","Int J Mol Sci. 2026 Jan 9;27(2):670. doi: 10.3390/ijms27020670.","Sacco MA","Int J Mol Sci","2026","2026/01/28","PMC12841370","","10.3390/ijms27020670"
"41596318","From Data to Decision: Integrating Bioinformatics into Glioma Patient Stratification and Immunotherapy Selection","Sleptsova E, Vershinina O, Ivanchenko M, Turubanova V.","Int J Mol Sci. 2026 Jan 9;27(2):667. doi: 10.3390/ijms27020667.","Sleptsova E","Int J Mol Sci","2026","2026/01/28","PMC12841107","","10.3390/ijms27020667"
"41595535","Composition and Function of Gut Microbiome: From Basic Omics to Precision Medicine","Ma Y, Wang L, Hu H, Shieh AR, Li E, He D, He L, Liu Z, Paing TM, Chen X, Cao Y.","Genes (Basel). 2026 Jan 22;17(1):116. doi: 10.3390/genes17010116.","Ma Y","Genes (Basel)","2026","2026/01/28","PMC12840750","","10.3390/genes17010116"
"41594187","A Systematic Review of Diffusion Models for Medical Image-Based Diagnosis: Methods, Taxonomies, Clinical Integration, Explainability, and Future Directions","Azad M, Fahad NM, Raiaan MAK, Anik TR, Khan MFK, Toyé HMK, Muhammad G.","Diagnostics (Basel). 2026 Jan 9;16(2):211. doi: 10.3390/diagnostics16020211.","Azad M","Diagnostics (Basel)","2026","2026/01/28","PMC12839938","","10.3390/diagnostics16020211"
"41587323","Unveiling patterns: an exploration of machine learning techniques for unsupervised feature selection in single-cell data","Chatterjee N, Taraskin A, Divakaran H, Jaeger N, Enriquez V, Hedrick CC, Alimadadi A.","Brief Bioinform. 2026 Jan 7;27(1):bbag006. doi: 10.1093/bib/bbag006.","Chatterjee N","Brief Bioinform","2026","2026/01/26","PMC12834302","","10.1093/bib/bbag006"
"41587020","Patient Benefits in the Context of Sepsis-Related AI-Based Clinical Decision Support Systems: Scoping Review","Raszke P, Giebel GD, Wasem J, Adamzik M, Nowak H, Palmowski L, Heinz P, Timmesfeld N, Tokic M, Brunkhorst FM, Blase N.","J Med Internet Res. 2026 Jan 26;28:e76772. doi: 10.2196/76772.","Raszke P","J Med Internet Res","2026","2026/01/26","PMC12834200","","10.2196/76772"
"41582682","The Perspectives of Posttranslational Modifications of Nuclear Proteins in Related Physiology and Diseases Assisted With Multi-Omics Integrative Analysis and Machine Learning","Tang Q, Wang L, Fu N, Chen L.","Cell Biochem Funct. 2026 Feb;44(2):e70171. doi: 10.1002/cbf.70171.","Tang Q","Cell Biochem Funct","2026","2026/01/26","","","10.1002/cbf.70171"
"41581992","Computational biology for cell-free systems","Acharya M, Mani I.","Prog Mol Biol Transl Sci. 2026;218:65-85. doi: 10.1016/bs.pmbts.2025.08.007. Epub 2025 Sep 17.","Acharya M","Prog Mol Biol Transl Sci","2026","2026/01/25","","","10.1016/bs.pmbts.2025.08.007"
"41581929","Antimicrobial peptides: Bioinformatic advances and translational therapeutics to combat antibiotic resistance","Haryini S, Manku KK, Deshkar A, Doss C GP.","Adv Protein Chem Struct Biol. 2026;149:1-59. doi: 10.1016/bs.apcsb.2025.10.017. Epub 2025 Nov 25.","Haryini S","Adv Protein Chem Struct Biol","2026","2026/01/25","","","10.1016/bs.apcsb.2025.10.017"
"41579411","Computational design of intrinsically disordered proteins","Tesei G, Pesce F, Lindorff-Larsen K.","Curr Opin Struct Biol. 2026 Feb;96:103210. doi: 10.1016/j.sbi.2025.103210. Epub 2026 Jan 23.","Tesei G","Curr Opin Struct Biol","2026","2026/01/24","","","10.1016/j.sbi.2025.103210"
"41577452","Machine learning for RNA secondary structure prediction: a review of current methods and challenges","Sacco G, Bussi G, Sanguinetti G.","RNA. 2026 Mar 16;32(4):443-456. doi: 10.1261/rna.080840.125.","Sacco G","RNA","2026","2026/01/23","PMC12990806","","10.1261/rna.080840.125"
"41577450","Navigating the Computational Landscape for Drug Repurposing","Álvarez-Pérez A, Prieto-Santamaría L, Casas AI, Loscalzo J, Rodríguez-González A.","Annu Rev Pharmacol Toxicol. 2026 Jan;66(1):149-170. doi: 10.1146/annurev-pharmtox-121924-042636.","Álvarez-Pérez A","Annu Rev Pharmacol Toxicol","2026","2026/01/23","","","10.1146/annurev-pharmtox-121924-042636"
"41577021","Advances in NMR Spectroscopy for biological systems: Principles, techniques, and their growing scope","Aboalroub AA.","Biotechnol Adv. 2026 May-Jun;88:108809. doi: 10.1016/j.biotechadv.2026.108809. Epub 2026 Jan 21.","Aboalroub AA","Biotechnol Adv","2026","2026/01/23","","","10.1016/j.biotechadv.2026.108809"
"41576249","Artificial Intelligence-Assisted Clinical Decision Support System in Telemedical Wound Care: A Randomized Controlled Trial","Chang DH, Nguyen DK, Nguyen TN, Chan CL.","Ann Plast Surg. 2026 Feb 1;96(2 Suppl 2):S61-S66. doi: 10.1097/SAP.0000000000004554.","Chang DH","Ann Plast Surg","2026","2026/01/23","","","10.1097/SAP.0000000000004554"
"41574991","The Role of Artificial Intelligence for the Radiotherapeutic Management of Brain Metastases","Podgorsak A, Kang J, Zheng D, Milano M, Lo S, Hardy S.","Cancer J. 2026 Jan-Feb 01;32(1):e0809. doi: 10.1097/PPO.0000000000000809. Epub 2026 Jan 27.","Podgorsak A","Cancer J","2026","2026/01/23","","","10.1097/PPO.0000000000000809"
"41571379","Endocrine disruption in metabolic disorders: Biomarkers and therapeutic targets","Ikram HM, Rehman K, Akash MSH, Ameer F.","Adv Clin Chem. 2026;130:133-174. doi: 10.1016/bs.acc.2025.10.012. Epub 2025 Nov 17.","Ikram HM","Adv Clin Chem","2026","2026/01/22","","","10.1016/bs.acc.2025.10.012"
"41565115","Integrative omics approaches for bioactive metabolite discovery in marine macroalgae: Recent advances and future perspectives","Marimuthu M, Anitha M, Prakash P, Meivelu Moovendhan.","J Biotechnol. 2026 Mar;411:13-28. doi: 10.1016/j.jbiotec.2026.01.007. Epub 2026 Jan 19.","Marimuthu M","J Biotechnol","2026","2026/01/21","","","10.1016/j.jbiotec.2026.01.007"
"41565074","Oculomics and AI: The eye as a biomarker for health span","Le Yi Wong J, Cheng H, Peh WJ, Ho D, Wong TY, Hui CYY, Ting DSJ, Bee YM, Goh SY, Apte RS, Mahajan VB, Goldberg JL, Bischof E, Sinclair DA, Cheung CC, Chan HH, Fukutsu K, Tan TF, Quek CWN, Hong ASY, Jin LY, Wagner SK, Keane P, Ferrara D, Eydelman M, Lam DSC, Wang X, Ting DSW.","Asia Pac J Ophthalmol (Phila). 2026 Jan-Feb;15(1):100282. doi: 10.1016/j.apjo.2026.100282. Epub 2026 Jan 19.","Le Yi Wong J","Asia Pac J Ophthalmol (Phila)","2026","2026/01/21","","","10.1016/j.apjo.2026.100282"
"41564956","Computational methods for spatial multi-omics integration","Geng A, Cui C, Luo Z, Xu J, Meng Y, Cui F, Wei L, Zou Q, Zhang Z.","Biotechnol Adv. 2026 Mar-Apr;87:108807. doi: 10.1016/j.biotechadv.2026.108807. Epub 2026 Jan 19.","Geng A","Biotechnol Adv","2026","2026/01/21","","","10.1016/j.biotechadv.2026.108807"
"41563074","Development of a Deep Learning Algorithm for Posterior Fossa Abnormality Recognition on First-Trimester US Screening Scans: AIRFRAME Study Part 1","Familiari A, Di Ilio C, Dall'Asta A, Corno E, Ramirez Zegarra R, Di Pasquo E, Fanelli T, Minopoli M, Thilaganathan B, Scala C, Prefumo F, Raffaelli R, Bovino A, Quarello E, Binder J, Falcone V, Grisolia G, Ramkrishna J, Meagher S, Tran HE, Bizzarri C, Vagni M, Boldrini L, Volpe P, Ghi T.","Radiol Artif Intell. 2026 Mar;8(2):e250394. doi: 10.1148/ryai.250394.","Familiari A","Radiol Artif Intell","2026","2026/01/21","","","10.1148/ryai.250394"
"41562065","Metabolic reprogramming in the post-metastatic tumor microenvironment: multi-omics insights into determinants of immunotherapy response","Li M, Wang T, Zhang Z, Dongye Y.","Front Immunol. 2026 Jan 5;16:1742855. doi: 10.3389/fimmu.2025.1742855. eCollection 2025.","Li M","Front Immunol","2026","2026/01/21","PMC12813170","","10.3389/fimmu.2025.1742855"
"41559085","Large-scale serum N-glycomics tracks N-glycosylation dynamics in hepatocellular carcinoma progression and enables early diagnosis","Fu B, Chen J, Liu X, Li J, Feng X, Wang J, Li Y, Zhang Y, Ma J, Wang Y, Gu B, Zhang Y, Lu H.","Nat Commun. 2026 Jan 20;17(1):1885. doi: 10.1038/s41467-026-68579-x.","Fu B","Nat Commun","2026","2026/01/20","PMC12923677","","10.1038/s41467-026-68579-x"
"41558230","Beyond binary diagnosis: Key questions on AI accuracy, real-world applicability, and safety in clinical decision support","Ye J.","Int J Med Inform. 2026 Apr 1;209:106292. doi: 10.1016/j.ijmedinf.2026.106292. Epub 2026 Jan 17.","Ye J","Int J Med Inform","2026","2026/01/20","","","10.1016/j.ijmedinf.2026.106292"
"41557227","Sequence Prediction, Structural Modelling and the Challenges of Plasticity in Coiled Coils","Wood CW, Rhys GG, Notari E.","Subcell Biochem. 2026;113:1-34. doi: 10.1007/978-3-032-05273-5_1.","Wood CW","Subcell Biochem","2026","2026/01/20","","","10.1007/978-3-032-05273-5_1"
"41557150","[Potential of imaging in the clinical routine : Focus on cardiovascular MRI]","Abanador-Kamper N, Lange T, Schulz A, Reiter T, Korosoglou G, Schuster A, Gröschel J, Schulz-Menger J.","Herz. 2026 Mar;51(2):116-125. doi: 10.1007/s00059-025-05359-1. Epub 2026 Jan 20.","Abanador-Kamper N","Herz","2026","2026/01/20","","","10.1007/s00059-025-05359-1"
"41555097","The DNA dialect: a comprehensive guide to pretrained genomic language models","Veiner M, Supek F.","Mol Syst Biol. 2026 Mar;22(3):309-332. doi: 10.1038/s44320-025-00184-4. Epub 2026 Jan 19.","Veiner M","Mol Syst Biol","2026","2026/01/19","PMC12953581","","10.1038/s44320-025-00184-4"
"41554183","Controlling gene expression using AI designed Cis-regulatory elements","Xia Y, Huo YX.","Biotechnol Adv. 2026 Mar-Apr;87:108802. doi: 10.1016/j.biotechadv.2026.108802. Epub 2026 Jan 18.","Xia Y","Biotechnol Adv","2026","2026/01/19","","","10.1016/j.biotechadv.2026.108802"
"41548462","Ultrashort echo time MRI radiomics as a predictor of clinical outcomes in patellar tendinopathy: Insights from a large prospective clinical trial","Fang Y, Deng J, Breda SJ, de Vos RJ, Oei EHG, Hirvasniemi J.","Eur J Radiol. 2026 Mar;196:112675. doi: 10.1016/j.ejrad.2026.112675. Epub 2026 Jan 14.","Fang Y","Eur J Radiol","2026","2026/01/18","","","10.1016/j.ejrad.2026.112675"
"41547936","Charting exposomethics: a roadmap for the ethical foundations of the human exposome project","Sillé FCM, Belkadi M, Koehler K, Ali J, Vasiliou V, Sarigiannis D, Hartung T.","Hum Genomics. 2026 Jan 17;20(1):34. doi: 10.1186/s40246-025-00906-7.","Sillé FCM","Hum Genomics","2026","2026/01/17","PMC12895843","","10.1186/s40246-025-00906-7"
"41546796","Precision breeding in a changing climate: unlocking resilience through omics and gene editing","Borgohain T, Suma R, Muttappagol M, Saikia B, Keithellakpam A, Laskar A, Hiremath SS, Basu U, Velmurugan N, Palakolanu SR, Chikkaputtaiah C.","Funct Integr Genomics. 2026 Jan 17;26(1):26. doi: 10.1007/s10142-025-01796-7.","Borgohain T","Funct Integr Genomics","2026","2026/01/17","","","10.1007/s10142-025-01796-7"
"41542760","Artificial Intelligence in Nutrigenomics: A Critical Review on Functional Food Insights and Personalized Nutrition Pathways","Balamurugan J, Adeyeye SAO.","J Hum Nutr Diet. 2026 Feb;39(1):e70200. doi: 10.1111/jhn.70200.","Balamurugan J","J Hum Nutr Diet","2026","2026/01/16","","","10.1111/jhn.70200"
"41539915","Pixel-level Radiomics and Deep Learning for Predicting Ki-67 Expression in Breast Cancer Based on Dual-modal Ultrasound Images","Wei W, Xia F, Zhang D, Zhou W, Wang X, Gao Y, Lu W, Feng H, Zhang C.","Acad Radiol. 2026 Mar;33(3):900-917. doi: 10.1016/j.acra.2025.12.047. Epub 2026 Jan 14.","Wei W","Acad Radiol","2026","2026/01/15","","","10.1016/j.acra.2025.12.047"
"41539063","Clinical proteomics in cardiovascular medicine: Current capabilities, limitations, and future directions","Singh B, Karpov OA, Mayr M.","Atherosclerosis. 2026 Feb;413:120637. doi: 10.1016/j.atherosclerosis.2026.120637. Epub 2026 Jan 8.","Singh B","Atherosclerosis","2026","2026/01/15","","","10.1016/j.atherosclerosis.2026.120637"
"41538056","DNA barcoding and phylogenomics in mushrooms: current progress, challenges, and future prospects","Rehman U, Sarfraz M, Bibi F, Noor A, Ullah M, Tarafder E, Shinwari ZK.","Antonie Van Leeuwenhoek. 2026 Jan 15;119(2):40. doi: 10.1007/s10482-026-02250-9.","Rehman U","Antonie Van Leeuwenhoek","2026","2026/01/15","","","10.1007/s10482-026-02250-9"
"41537531","Utilization of artificial intelligence in the management of cardiovascular diseases: Promise versus reality","Beyer SE, Matusik PT, Ptaszek LM.","Kardiol Pol. 2026;84(2):165-173. doi: 10.33963/v.phj.110703. Epub 2026 Jan 15.","Beyer SE","Kardiol Pol","2026","2026/01/15","","","10.33963/v.phj.110703"
"41537311","A comprehensive survey of genome language models in bioinformatics","Shu L, Tang J, Guan X, Zhang D.","Brief Bioinform. 2026 Jan 7;27(1):bbaf724. doi: 10.1093/bib/bbaf724.","Shu L","Brief Bioinform","2026","2026/01/15","PMC12805252","","10.1093/bib/bbaf724"
"41537307","Artificial intelligence in mitotic checkpoint modeling: transforming our understanding of cellular division through machine learning and predictive biology","Ibrahim B.","Brief Bioinform. 2026 Jan 7;27(1):bbaf729. doi: 10.1093/bib/bbaf729.","Ibrahim B","Brief Bioinform","2026","2026/01/15","PMC12805251","","10.1093/bib/bbaf729"
"41536049","A Review of Recent Developments in Artificial Intelligence and Big Data Technologies for Ophthalmology Referrals and Clinical Practice","Paredes AA, Banoub RG, Gill GS, Bains HK, Sibia AS, Sanghvi HA, Gupta SK, Chalam KV.","Med Sci Monit. 2026 Jan 15;32:e950686. doi: 10.12659/MSM.950686.","Paredes AA","Med Sci Monit","2026","2026/01/15","PMC12822609","","10.12659/MSM.950686"
"41535547","Computational frameworks for enhanced extracellular vesicle biomarker discovery","Kim J, Yang JD, Agopian VG, Zhu Y, Tseng HR, You S.","Exp Mol Med. 2026 Feb;58(1):73-81. doi: 10.1038/s12276-025-01622-x. Epub 2026 Jan 14.","Kim J","Exp Mol Med","2026","2026/01/14","PMC12868610","","10.1038/s12276-025-01622-x"
"41535264","Multi-center multi-omics integration predicts individualized prognosis in medullary thyroid carcinoma","Zhou Y, Wang Y, Shi X, Wang J, Zang Z, Zhang L, Gui Z, Cai X, Hu P, Wang J, Liu H, Wang Z, Guan H, Wu X, Shen C, He Y, Li M, Zhang H, Wang J, Wu Y, Chen C, Zhu Y, Sun Y, Liu Z, Wang Y, Guo T.","Nat Commun. 2026 Jan 14;17(1):432. doi: 10.1038/s41467-025-67533-7.","Zhou Y","Nat Commun","2026","2026/01/14","PMC12804720","","10.1038/s41467-025-67533-7"
"41534496","Recent advances in the neurogenomics of autism spectrum disorder","Gogate A, Chahrour MH.","Curr Opin Genet Dev. 2026 Feb;96:102431. doi: 10.1016/j.gde.2025.102431. Epub 2026 Jan 13.","Gogate A","Curr Opin Genet Dev","2026","2026/01/14","","","10.1016/j.gde.2025.102431"
"41533149","[Artificial intelligence in risk stratification of acute coronary syndrome : Future vision or already reality?]","Büscher A, Plagwitz L, Blaschke J, Heider D, Eckardt L.","Herz. 2026 Mar;51(2):92-99. doi: 10.1007/s00059-025-05360-8. Epub 2026 Jan 14.","Büscher A","Herz","2026","2026/01/14","","","10.1007/s00059-025-05360-8"
"41531434","Perivascular Adipose Tissue Radiomics Predicts Abdominal Aortic Aneurysm Rupture: A Multicenter Study","Feng Y, Wu M, An H, Geng Y, Zhang H, Lu J, Wu X, Xu L, Yang Y.","Vasc Health Risk Manag. 2026 Jan 8;22:1-14. doi: 10.2147/VHRM.S559381. eCollection 2026.","Feng Y","Vasc Health Risk Manag","2026","2026/01/14","PMC12794645","","10.2147/VHRM.S559381"
"41527165","Artificial Intelligence in Coronary Computed Tomography: Current Applications, Future Potentials, and Real-world Challenges","Giarletta L, Zhou B, Marano R, De Cecco CN, van Assen M.","J Thorac Imaging. 2026 Mar 1;41(2):e0873. doi: 10.1097/RTI.0000000000000873.","Giarletta L","J Thorac Imaging","2026","2026/01/13","","","10.1097/RTI.0000000000000873"
"41525224","CatBoost Machine Learning Model for Thrombosis Risk Prediction in Critically Ill Cancer Patients: A MIMIC-IV Database Study","Yang C, Ma H, Zeng X, Yang J, Xiao B, Tan R, Liu Y, Zeng Q.","Clin Appl Thromb Hemost. 2026 Jan-Dec;32:10760296251408357. doi: 10.1177/10760296251408357. Epub 2026 Jan 12.","Yang C","Clin Appl Thromb Hemost","2026","2026/01/12","PMC12796139","","10.1177/10760296251408357"
"41524947","Food-borne bacterial pathogens: emerging approaches in detection and prevention","Shafi Z, Shahid M, Singh R.","Arch Microbiol. 2026 Jan 12;208(2):109. doi: 10.1007/s00203-025-04675-8.","Shafi Z","Arch Microbiol","2026","2026/01/12","","","10.1007/s00203-025-04675-8"
"41524451","Effective prompt design for large language models in clinical practice","Callens S.","Acta Clin Belg. 2026 Apr;81(2):118-129. doi: 10.1080/17843286.2026.2613903. Epub 2026 Jan 12.","Callens S","Acta Clin Belg","2026","2026/01/12","","","10.1080/17843286.2026.2613903"
"41520911","Integrative spatial omics and artificial intelligence: transforming cancer research with omics data and AI","McKenzie M, Irac SE, Chen Z, Moradi A, Jenner A, Nguyen Q, Rashidieh B.","Semin Cancer Biol. 2026 Feb;119:65-82. doi: 10.1016/j.semcancer.2026.01.002. Epub 2026 Jan 9.","McKenzie M","Semin Cancer Biol","2026","2026/01/11","","","10.1016/j.semcancer.2026.01.002"
"41520866","Laboratory-based additive modifications in glass ionomer cements: A scoping review using a systematic data mining and trend analysis framework (2015-2024)","Tsuchiya K, Sidhu SK, Sauro S, Matinlinna JP, Sano H, Yamauti M, Hoshika S, Tsoi JKH, Tomokiyo A.","J Dent. 2026 Mar;166:106349. doi: 10.1016/j.jdent.2026.106349. Epub 2026 Jan 9.","Tsuchiya K","J Dent","2026","2026/01/11","","","10.1016/j.jdent.2026.106349"
"41520514","Unlocking therapeutic impacts of the gut microbiota with computational tools","Kharb A, Zhu X.","Curr Opin Biotechnol. 2026 Feb;97:103431. doi: 10.1016/j.copbio.2025.103431. Epub 2026 Jan 10.","Kharb A","Curr Opin Biotechnol","2026","2026/01/11","PMC12836474","NIHMS2138678","10.1016/j.copbio.2025.103431"
"41519862","Uncovering the metabolic impact of acute psychological stress in young adults","Frempong GA, Goni G, Lorenzo-Tejedor M, De la Cámara C, Lázaro J, Mangialavori Rasia E, Aguiló J, Bailon R, Bernal ML.","Sci Rep. 2026 Jan 10;16(1):1567. doi: 10.1038/s41598-025-29572-4.","Frempong GA","Sci Rep","2026","2026/01/10","PMC12800245","","10.1038/s41598-025-29572-4"
"41518743","From big data to mechanistic insights: decoding plant complexity with models","Politsch JE, González-Delgado A, Wabnik K.","Curr Opin Biotechnol. 2026 Feb;97:103428. doi: 10.1016/j.copbio.2025.103428. Epub 2026 Jan 9.","Politsch JE","Curr Opin Biotechnol","2026","2026/01/10","","","10.1016/j.copbio.2025.103428"
"41518203","Harnessing artificial intelligence for genomic variant prediction: advances, challenges, and future directions","Pakpahan I, Sihombing M, Liu H, Wang M, Su Z, Fang M.","Gigascience. 2026 Jan 21;15:giag004. doi: 10.1093/gigascience/giag004.","Pakpahan I","Gigascience","2026","2026/01/10","PMC12888390","","10.1093/gigascience/giag004"
"41517693","Identification of mitochondria metabolism-related biomarkers associated with the development of rheumatoid arthritis using bioinformatics: An observational study","Xu R, Zhang Z, Zhou M, Xu Z, Huang J, Gan K, Lu Y.","Medicine (Baltimore). 2026 Jan 9;105(2):e44435. doi: 10.1097/MD.0000000000044435.","Xu R","Medicine (Baltimore)","2026","2026/01/10","PMC12795057","","10.1097/MD.0000000000044435"
"41516424","Cerebrospinal Fluid Biomarkers in Creutzfeldt-Jakob Disease: Diagnostic Value, Limitations, and Future Multi-Omics Strategies","Xu R, Chen C, Shi Q, Dong XP.","Int J Mol Sci. 2026 Jan 5;27(1):553. doi: 10.3390/ijms27010553.","Xu R","Int J Mol Sci","2026","2026/01/10","PMC12786746","","10.3390/ijms27010553"
"41516393","Integrative Genomic and AI Approaches to Lung Cancer and Implications for Disease Prevention in Former Smokers","Bénard KH, Souza VGP, Stewart GL, Enfield KSS, Lam WL.","Int J Mol Sci. 2026 Jan 4;27(1):521. doi: 10.3390/ijms27010521.","Bénard KH","Int J Mol Sci","2026","2026/01/10","PMC12786486","","10.3390/ijms27010521"
"41516374","Mapping the Ischemic Continuum: Dynamic Multi-Omic Biomarker and AI for Personalized Stroke Care","Grigorean VT, Pantu C, Breazu A, Oprea S, Munteanu O, Radoi MP, Giuglea C, Marin A.","Int J Mol Sci. 2026 Jan 3;27(1):502. doi: 10.3390/ijms27010502.","Grigorean VT","Int J Mol Sci","2026","2026/01/10","PMC12787234","","10.3390/ijms27010502"
"41513406","Deep learning for RNA secondary structure determination: gauging generalizability and broadening the scope of traditional methods","Szikszai M, Wang TY, Krueger R, Mathews DH, Ward M, Aviran S.","RNA. 2026 Mar 16;32(4):428-442. doi: 10.1261/rna.080846.125.","Szikszai M","RNA","2026","2026/01/09","PMC12990807","","10.1261/rna.080846.125"
"41512581","A study on ultrasound imaging for thyroid detection and classification using machine learning and deep learning techniques","Sathya J, Ramkumar S.","Semergen. 2026 Jan-Feb;52(1):102674. doi: 10.1016/j.semerg.2025.102674. Epub 2026 Jan 8.","Sathya J","Semergen","2026","2026/01/09","","","10.1016/j.semerg.2025.102674"
"41511845","Genomics and Personalized Medicine: The DNA Revolution Reshaping Patient Care by 2035","Khalid AW, Khalid A, Pouwels S, Agarwal A, Gelber E, Lala A, Ahmed AR, Yang W, Ahmad S.","South Med J. 2026 Jan;119(1):39-43. doi: 10.14423/SMJ.0000000000001925.","Khalid AW","South Med J","2026","2026/01/09","","","10.14423/SMJ.0000000000001925"
"41511814","Bioinformatics insights into plant genomic imprinting: approaches, challenges, and future perspectives","Jing X, Su X, Zou Q, Niu M.","Brief Funct Genomics. 2026 Jan 9;25:elaf025. doi: 10.1093/bfgp/elaf025.","Jing X","Brief Funct Genomics","2026","2026/01/09","PMC12785899","","10.1093/bfgp/elaf025"
"41511463","A systematic review of molecular representation learning foundation models","Song B, Zhang J, Liu Y, Liu Y, Jiang J, Yuan S, Zhen X, Liu Y.","Brief Bioinform. 2026 Jan 7;27(1):bbaf703. doi: 10.1093/bib/bbaf703.","Song B","Brief Bioinform","2026","2026/01/09","PMC12784970","","10.1093/bib/bbaf703"
"41511333","The Role of Metabolites in Cell-Cell Communication: A Review of Databases and Computational Tools","Song Q, Liu Z, Liu S.","Cells. 2025 Dec 26;15(1):49. doi: 10.3390/cells15010049.","Song Q","Cells","2025","2026/01/09","PMC12786037","","10.3390/cells15010049"
"41511126","DATA RETRIEVAL FOR CLINICAL PROJECTS IN THE EVOLVING HEALTHCARE SYSTEM: PAST, PRESENT, AND FUTURE","Mahajan U, Usman A, Mohamed M, Subbaraman K, Yousaf H, Akhtar M, Kabary M, Kwafo-Armah A, Raza S, Sarwar A, Khater B.","Georgian Med News. 2025 Nov;(368):75-77.","Mahajan U","Georgian Med News","2025","2026/01/09","","",""
"41506911","Representation learning of single-cell RNA-seq data","Ahlmann-Eltze C, Barkmann F, Lause J, Boeva V, Kobak D.","RNA. 2026 Mar 16;32(4):504-519. doi: 10.1261/rna.080889.125.","Ahlmann-Eltze C","RNA","2026","2026/01/08","PMC12990802","","10.1261/rna.080889.125"
"41506577","Artificial intelligence in metagenome-assembled genome reconstruction: Tools, pipelines, and future directions","Sagar K, Priti K, Chandra H.","J Microbiol Methods. 2026 Feb;241:107390. doi: 10.1016/j.mimet.2026.107390. Epub 2026 Jan 6.","Sagar K","J Microbiol Methods","2026","2026/01/08","","","10.1016/j.mimet.2026.107390"
"41506538","Quantitative evaluation of retinal vascular morphology based on the human visual bionic mechanism for the evaluation of diabetic retinopathy onset","Xu Y, Wu Y, Ling S, Dong Z, Ke X, Lu L, Ye Z, Song J, Zou H.","Microvasc Res. 2026 Mar;164:104901. doi: 10.1016/j.mvr.2026.104901. Epub 2026 Jan 6.","Xu Y","Microvasc Res","2026","2026/01/08","","","10.1016/j.mvr.2026.104901"
"41506167","Research progress and clinical utility of multi-parameter orbital MRI in thyroid-associated ophthalmopathy","Gou X, Cheng J, Li T, Zhao W, Wang Y, Zhang X, Hong N.","Eur J Radiol. 2026 Feb;195:112644. doi: 10.1016/j.ejrad.2025.112644. Epub 2026 Jan 2.","Gou X","Eur J Radiol","2026","2026/01/08","","","10.1016/j.ejrad.2025.112644"
"41506122","Metabolomic insights into fish osmoregulation: Unveiling adaptive mechanisms to salinity change","Chen X, Tang Y, Du X, Giffard-Mena I, Cao Q.","Comp Biochem Physiol Part D Genomics Proteomics. 2026 Jun;58:101742. doi: 10.1016/j.cbd.2025.101742. Epub 2026 Jan 3.","Chen X","Comp Biochem Physiol Part D Genomics Proteomics","2026","2026/01/08","","","10.1016/j.cbd.2025.101742"
