pmid,title,year,doi,cited_by_count,cluster,cluster_label,cluster_name,study_design,abstract
,a protocol for investigating lipidomic dysregulation and discovering lipid biomarkers from human serums,2022,10.1016/j.xpro.2022.101125,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,"operationalizing and implementing pretrained, large artificial intelligence linguistic models in the us health care system: outlook of generative pretrained transformer 3 (gpt-3) as a service model",2022,10.2196/32875,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,decision support systems in hf based on deep learning technologies,2022,10.1007/s11897-022-00540-7,0,12,"clinical, knowledge, support, decision, based","clinical, knowledge, support, decision, based",Other,
,deep graph learning for anomalous citation detection,2022,10.1109/tnnls.2022.3145092,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,radiogenomics in personalized management of lung cancer patients: where are we?,2022,10.1016/j.clinimag.2022.01.012,0,2,"radiomics, radiogenomics, review, lung, cancer","radiomics, radiogenomics, review, lung, cancer",Other,
,comparison of manual and automated digital image analysis systems for quantification of cellular protein expression,2022,10.14670/hh-18-434,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,evaluating the clinical acceptability of deep learning contours of prostate and organs-at-risk in an automated prostate treatment planning process,2022,10.1002/mp.15525,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,tapass: tool for annotation of protein amyloidogenicity in the context of other structural states,2022,10.1016/j.jsb.2022.107840,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,ct2us: cross-modal transfer learning for kidney segmentation in ultrasound images with synthesized data,2022,10.1016/j.ultras.2022.106706,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,classifying relations in clinical narratives using segment graph convolutional and recurrent neural networks (seg-gcrns),2019,10.1093/jamia/ocy157,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,a multitask bi-directional rnn model for named entity recognition on chinese electronic medical records,2018,10.1186/s12859-018-2467-9,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,imeges: integrated mental-disorder genome score by deep neural network for prioritizing the susceptibility genes for mental disorders in personal genomes,2018,10.1186/s12859-018-2469-7,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,prediction and evaluation of the severity of acute respiratory distress syndrome following severe acute pancreatitis using an artificial neural network algorithm model,2019,10.1016/j.hpb.2018.11.009,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,big data analysis and machine learning in intensive care units,2019,10.1016/j.medin.2018.10.007,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,integrative network and brain expression analysis reveals mechanistic modules in ataxia,2019,10.1136/jmedgenet-2018-105703,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,"automated, machine learning-based, 3d echocardiographic quantification of left ventricular mass",2019,10.1111/echo.14234,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,what's holding up the big data revolution in healthcare?,2018,10.1136/bmj.k5357,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,relative criticalness of common laboratory tests for critical value reporting,2019,10.1136/jclinpath-2018-205549,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,a survey on applications and analysis methods of functional magnetic resonance imaging for alzheimer's disease,2019,10.1016/j.jneumeth.2018.12.012,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,rna splicing analysis in genomic medicine,2019,10.1016/j.biocel.2018.12.009,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,automated diagnosis of breast ultrasonography images using deep neural networks,2019,10.1016/j.media.2018.12.006,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,radiogenomics for precision medicine with a big data analytics perspective,2019,10.1109/jbhi.2018.2879381,0,2,"radiomics, radiogenomics, review, lung, cancer","radiomics, radiogenomics, review, lung, cancer",Other,
,"better medicine through machine learning: what's real, and what's artificial?",2018,10.1371/journal.pmed.1002721,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,"Machine Learning Special Issue Guest Editors Suchi Saria, Atul Butte, and Aziz Sheikh cut through the hyperbole with an accessible and accurate portrayal of the forefront of machine learning in clinical translation. Statistics, and Health Policy, Malone Center for Engineering in Healthcare, and Armstrong Institute for Patient Safety and Quality, Johns Hopkins University, Baltimore, Maryland, United States of America. Francisco, San Francisco, California, United States of America. Oakland, California, United States of America. Edinburgh, Edinburgh, United Kingdom. following competing interests: SS has grants from Gordon and Betty Moore Foundation, the National Science Foundation, the Defense Advanced Research Projects Agency (DARPA), and the American Heart Association. She is the scientific founder and/or advisory board member for Bayesian Health and PatientPing. Bayesian Health develops real-time decision-making software for health systems. PatientPing offers software for real-time notifications about patient admission and discharge transfer status. She has received honoraria for talks from a number of biotechnology, research, and healthtech companies. She has no direct ties to the companies mentioned in this Editorial. AB is a scientific founder and/or advisory board member for NuMedii and Personalis. He has received honoraria for talks, has consulted, and has corporate relationships with a number of biotechnology, research, healthcare, and financial companies, and some of his students have founded biotechnology and healthcare companies. He has no direct ties to the companies mentioned in this Editorial. AS has relevant research grants from Chief Scientist’s Office of the Scottish Government, Department of Health, Farr Institute, Health Data Research UK, National Institute of Health Research, and NHS England, and he chairs the World Innovation Summit for Health (WISH) Forum on Data Science and Artificial Intelligence. SS, AB, and AS served as Guest Editors on PLOS Medicine’s Special Issue on Machine Learning in Health and Biomedicine. eCollection 2018 Dec."
,reconstruction and analysis of the differentially expressed incrna-mirna-mrna network based on competitive endogenous rna in hepatocellular carcinoma,2019,10.1615/critreveukaryotgeneexpr.2019028740,0,14,"network, cell, human, rna, remodeling","network, cell, human, rna, remodeling",Other,
,development of non-invasive diabetes risk prediction models as decision support tools designed for application in the dental clinical environment,2019,10.1016/j.imu.2019.100254,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,remote patient management in peritoneal dialysis: an answer to an unmet clinical need,2019,10.1159/000496305,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,machine learning for detecting moyamoya disease in plain skull radiography using a convolutional neural network,2019,10.1016/j.ebiom.2018.12.043,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,radiogenomics in clear cell renal cell carcinoma: machine learning-based high-dimensional quantitative ct texture analysis in predicting pbrm1 mutation status,2019,10.2214/ajr.18.20443,0,2,"radiomics, radiogenomics, review, lung, cancer","radiomics, radiogenomics, review, lung, cancer",Other,
,identification of potential mirna-mrna regulatory network contributing to pathogenesis of hbv-related hcc,2019,10.1186/s12967-018-1761-7,0,14,"network, cell, human, rna, remodeling","network, cell, human, rna, remodeling",Other,
,segmentation of lung parenchyma in ct images using cnn trained with the clustering algorithm generated dataset,2019,10.1186/s12938-018-0619-9,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,computer-aided diagnosis of label-free 3-d optical coherence microscopy images of human cervical tissue,2019,10.1109/tbme.2018.2890167,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,informatics tools to assess the success of procedural harmonization in preclinical multicenter biomarker discovery study on post-traumatic epileptogenesis,2019,10.1016/j.eplepsyres.2018.12.010,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,a deep learning-based approach to reduce rescan and recall rates in clinical mri examinations,2019,10.3174/ajnr.a5926,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,machine learning in suicide science: applications and ethics,2019,10.1002/bsl.2392,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,prediction of implantation after blastocyst transfer in in vitro fertilization: a machine-learning perspective,2019,10.1016/j.fertnstert.2018.10.030,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,a systematic approach for developing a corpus of patient reported adverse drug events: a case study for ssri and snri medications,2019,10.1016/j.jbi.2018.12.005,0,12,"clinical, knowledge, support, decision, based","clinical, knowledge, support, decision, based",Other,
,machine learning derived segmentation of phase velocity encoded cardiovascular magnetic resonance for fully automated aortic flow quantification,2019,10.1186/s12968-018-0509-0,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,precision medicine approaches and the health of populations: study design concerns and considerations,2018,10.1353/pbm.2018.0062,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,prospects and challenges for clinical decision support in the era of big data,2018,10.1200/cci.18.00002,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,aberrant epileptic seizure identification: a computer vision perspective,2019,10.1016/j.seizure.2018.12.017,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,the agile deployment of machine learning models in healthcare,2019,10.3389/fdata.2018.00007,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Implementation Study,
,application of machine learning in rheumatic disease research,2019,10.3904/kjim.2018.349,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,a clinical text classification paradigm using weak supervision and deep representation,2019,10.1186/s12911-018-0723-6,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,radiation therapy quality assurance in head and neck radiotherapy - moving forward,2019,10.1016/j.oraloncology.2018.11.014,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,integrated molecular analysis of undifferentiated uterine sarcomas reveals clinically relevant molecular subtypes,2019,10.1158/1078-0432.ccr-18-2792,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,privacy in the age of medical big data,2019,10.1038/s41591-018-0272-7,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,identification of several cell cycle relevant genes highly correlated with the progression and prognosis of human bladder urothelial tumor,2019,10.1002/jcp.28023,0,14,"network, cell, human, rna, remodeling","network, cell, human, rna, remodeling",Other,
,non-additive effects of acvr2a in preeclampsia in a philippine population,2019,10.1186/s12884-018-2152-z,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,automatic thyroid nodule recognition and diagnosis in ultrasound imaging with the yolov2 neural network,2019,10.1186/s12957-019-1558-z,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Other,
,antibody repertoire analysis of hepatitis c virus infections identifies immune signatures associated with spontaneous clearance,2018,10.3389/fimmu.2018.03004,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,optimizing texture retrieving model for multimodal mr image-based support vector machine for classifying glioma,2019,10.1002/jmri.26524,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,fast scannet: fast and dense analysis of multi-gigapixel whole-slide images for cancer metastasis detection,2019,10.1109/tmi.2019.2891305,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,deep learning and handcrafted method fusion: higher diagnostic accuracy for melanoma dermoscopy images,2019,10.1109/jbhi.2019.2891049,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Diagnostic Accuracy Study,
,can machine learning methods produce accurate and easy-to-use prediction models of 30-day complications and mortality after knee or hip arthroplasty?,2019,10.1097/corr.0000000000000601,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,"BACKGROUND: Existing universal and procedure-specific surgical risk prediction models of death and major complications after elective total joint arthroplasty (TJA) have limitations including poor transparency, poor to modest accuracy, and insufficient validation to establish performance across diverse settings. Thus, the need remains for accurate and validated prediction models for use in preoperative management, informed consent, shared decision-making, and risk adjustment for reimbursement. QUESTIONS/PURPOSES: The purpose of this study was to use machine learning methods and large national databases to develop and validate (both internally and externally) parsimonious risk-prediction models for mortality and complications after TJA. METHODS: Preoperative demographic and clinical variables from all 107,792 nonemergent primary THAs and TKAs in the 2013 to 2014 American College of Surgeons-National Surgical Quality Improvement Program (ACS-NSQIP) were evaluated as predictors of 30-day death and major complications. The NSQIP database was chosen for its high-quality data on important outcomes and rich characterization of preoperative demographic and clinical predictors for demographically and geographically diverse patients. Least absolute shrinkage and selection operator (LASSO) regression, a type of machine learning that optimizes accuracy and parsimony, was used for model development. Tenfold validation was used to produce C-statistics, a measure of how well models discriminate patients who experience an outcome from those who do not. External validation, which evaluates the generalizability of the models to new data sources and patient groups, was accomplished using data from the Veterans Affairs Surgical Quality Improvement Program (VASQIP). Models previously developed from VASQIP data were also externally validated using NSQIP data to examine the generalizability of their performance with a different group of patients outside the VASQIP context. RESULTS: The models, developed using LASSO regression with diverse clinical (for example, American Society of Anesthesiologists classification, comorbidities) and demographic (for example, age, gender) inputs, had good accuracy in terms of discriminating the likelihood a patient would experience, within 30 days of arthroplasty, a renal complication (C-statistic, 0.78; 95% confidence interval [CI], 0.76-0.80), death (0.73; 95% CI, 0.70-0.76), or a cardiac complication (0.73; 95% CI, 0.71-0.75) from one who would not. By contrast, the models demonstrated poor accuracy for venous thromboembolism (C-statistic, 0.61; 95% CI, 0.60-0.62) and any complication (C-statistic, 0.64; 95% CI, 0.63-0.65). External validation of the NSQIP- derived models using VASQIP data found them to be robust in terms of predictions about mortality and cardiac complications, but not for predicting renal complications. Models previously developed with VASQIP data had poor accuracy when externally validated with NSQIP data, suggesting they should not be used outside the context of the Veterans Health Administration. CONCLUSIONS: Moderately accurate predictive models of 30-day mortality and cardiac complications after elective primary TJA were developed as well as internally and externally validated. To our knowledge, these are the most accurate and rigorously validated TJA-specific prediction models currently available (http://med.stanford.edu/s-spire/Resources/clinical-tools-.html). Methods to improve these models, including the addition of nonstandard inputs such as natural language processing of preoperative clinical progress notes or radiographs, should be pursued as should the development and validation of models to predict longer term improvements in pain and function. LEVEL OF EVIDENCE: Level III, diagnostic study. Palo Alto Healthcare System, Palo Alto, CA, USA A. C. Kuo San Francisco Veterans Affairs Medical Center, University of California, San Francisco, CA, USA A H. S. Harris, Y. Weng, A. W. Trickey Stanford-Surgical Policy Improvement Research and Education Center, Stanford, CA, USA N. J. Giori Department of Orthopedic Surgery, Stanford University School of Medicine, Stanford, CA, USA. Related Research® editors and board members are on file with the publication and can be viewed on request. 10.1097/CORR.0000000000000601."
,artificial intelligence and colonoscopy: current status and future perspectives,2019,10.1111/den.13340,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Other,
,artificial intelligence to predict needs for urgent revascularization from 12-leads electrocardiography in emergency patients,2019,10.1371/journal.pone.0210103,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,"beyond opinion classification: extracting facts, opinions and experiences from health forums",2019,10.1371/journal.pone.0209961,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,a trial for ebt3 film without batch-specific calibration using a neural network,2019,10.1088/1361-6560/aafcbb,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Trial (Unspecified),
,an ontological foundation for ocular phenotypes and rare eye diseases,2019,10.1186/s13023-018-0980-6,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,artificial intelligence-based framework in evaluating intrafraction motion for liver cancer robotic stereotactic body radiation therapy with fiducial tracking,2020,10.1002/mp.14501,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,exploring the potential of artificial intelligence and machine learning to combat covid-19 and existing opportunities for lmic: a scoping review,2020,10.1177/2150132720963634,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Review Paper,
,detection methods of covid-19,2020,10.1177/2472630320962002,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
,"analysis of covid-19 clinical trials: a data-driven, ontology-based, and natural language processing approach",2020,10.1371/journal.pone.0239694,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Trial (Unspecified),
,comparing a novel machine learning method to the friedewald formula and martin-hopkins equation for low-density lipoprotein estimation,2020,10.1371/journal.pone.0239934,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,identification of the significant pathways of banxia houpu decoction in the treatment of depression based on network pharmacology,2020,10.1371/journal.pone.0239843,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,a deep learning nomogram kit for predicting metastatic lymph nodes in rectal cancer,2020,10.1002/cam4.3490,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,"[big data, ai and machine learning for precision psychiatry: how are they changing the clinical practice?]",2020,10.1055/a-1234-6247,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,leveraging tcga gene expression data to build predictive models for cancer drug response,2020,10.1186/s12859-020-03690-4,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,korean clinical entity recognition from diagnosis text using bert,2020,10.1186/s12911-020-01241-8,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,amp‑activated protein kinase family member 5 is an independent prognostic indicator of pancreatic adenocarcinoma: a study based on the cancer genome atlas,2020,10.3892/mmr.2020.11504,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,artificial intelligence and cardiovascular imaging: a win-win combination,2020,10.14744/anatoljcardiol.2020.94491,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,deep learning for hemorrhagic lesion detection and segmentation on brain ct images,2021,10.1109/jbhi.2020.3028243,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,artificial intelligence and the hunt for immunological disorders,2020,10.1097/aci.0000000000000691,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,automatic classification of healthy and disease conditions from images or digital standard 12-lead electrocardiograms,2020,10.1038/s41598-020-73060-w,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,optimization of an automated tumor-infiltrating lymphocyte algorithm for improved prognostication in primary melanoma,2021,10.1038/s41379-020-00686-6,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,"a dynamic decision model for diagnosis of dementia, alzheimer's disease and mild cognitive impairment",2020,10.1016/j.compbiomed.2020.104010,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,automated segmentation and severity analysis of subdural hematoma for patients with traumatic brain injuries,2020,10.3390/diagnostics10100773,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,ada-whips: explaining adaboost classification with applications in the health sciences,2020,10.1186/s12911-020-01201-2,0,12,"clinical, knowledge, support, decision, based","clinical, knowledge, support, decision, based",Other,
,practicing precision medicine with intelligently integrative clinical and multi-omics data analysis,2020,10.1186/s40246-020-00287-z,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,big data and new information technology: what cardiologists need to know,2021,10.1016/j.rec.2020.06.036,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,"a deep learning-based, unsupervised method to impute missing values in electronic health records for improved patient management",2020,10.1016/j.jbi.2020.103576,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,multi-ontology refined embeddings (more): a hybrid multi-ontology and corpus-based semantic representation model for biomedical concepts,2020,10.1016/j.jbi.2020.103581,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,a novel ensemble of random forest for assisting diagnosis of parkinson's disease on small handwritten dynamics dataset,2020,10.1016/j.ijmedinf.2020.104283,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,metabolomic profiling of aqueous humor from glaucoma patients - the metabolomics in surgical ophthalmological patients (miso) study,2020,10.1016/j.exer.2020.108268,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,using deep learning to model the biological dose prediction on bulky lung cancer patients of partial stereotactic ablation radiotherapy,2020,10.1002/mp.14518,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,"anatomical pathology (human structural biopathology) in the era of ""big data"", digitalization, 5g and artificial intelligence: evolution or revolution?",2020,10.1016/j.patol.2020.04.001,0,9,"data, big, healthcare, care, digital","data, big, healthcare, care, digital",Other,
,artificial intelligence in in vitro fertilization: a computer decision support system for day-to-day management of ovarian stimulation during in vitro fertilization,2020,10.1016/j.fertnstert.2020.06.006,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,automated intensity modulated radiation therapy treatment planning for cervical cancer based on convolution neural network,2020,10.1177/1533033820957002,0,4,"radiotherapy, learning, planning, deep, cancer","radiotherapy, learning, planning, deep, cancer",Other,
,mathematical model predicts response to chemotherapy in advanced non-resectable non-small cell lung cancer patients treated with platinum-based doublet,2020,10.1371/journal.pcbi.1008234,0,19,"learning, machine, clinical, based, patients","learning, machine, clinical, based, patients",Other,
,uncovering the pharmacological mechanism of motherwort (leonurus japonicus houtt.) for treating menstrual disorders: a systems pharmacology approach,2020,10.1016/j.compbiolchem.2020.107384,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,bi-directional gated recurrent unit based ensemble model for the early detection of sepsis,2020,10.1109/embc44109.2020.9175223,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,attention networks for multi-task signal analysis,2020,10.1109/embc44109.2020.9175730,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,impulse classification network for video head impulse test,2020,10.1109/embc44109.2020.9175969,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Other,
,lung region segmentation in chest x-ray images using deep convolutional neural networks,2020,10.1109/embc44109.2020.9175478,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,learning latent spiculated features for lung nodule characterization,2020,10.1109/embc44109.2020.9175720,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,lung segmentation and nodule detection in computed tomography scan using a convolutional neural network trained adversarially using turing test loss,2020,10.1109/embc44109.2020.9175649,0,21,"learning, deep, using, covid, 19","learning, deep, using, covid, 19",Other,
,unsupervised stratification in neuroimaging through deep latent embeddings,2020,10.1109/embc44109.2020.9175810,0,5,"learning, reconstruction, deep, mri, image","learning, reconstruction, deep, mri, image",Other,
,diagnosis of myotonic dystrophy based on resting state fmri using convolutional neural networks,2020,10.1109/embc44109.2020.9176455,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,schrödinger spectrum based ppg features for the estimation of the arterial blood pressure,2020,10.1109/embc44109.2020.9176849,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,data mining and fusion of unobtrusive sensing solutions for indoor activity recognition,2020,10.1109/embc44109.2020.9175896,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,aidex - an open-source platform for real-time forecasting sepsis and a case study on taking ml algorithms to production,2020,10.1109/embc44109.2020.9175947,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,the clinical application of the deep learning technique for predicting trigger origins in patients with paroxysmal atrial fibrillation with catheter ablation,2020,10.1161/circep.120.008518,0,7,"learning, deep, cardiac, intelligence, artificial","learning, deep, cardiac, intelligence, artificial",Trial (Unspecified),
,developing a machine learning algorithm for identifying abnormal urothelial cells: a feasibility study,2021,10.1159/000510474,0,16,"based, image, diagnosis, images, learning","based, image, diagnosis, images, learning",Implementation Study,
,[artificial intelligence in gastroenterology],2020,10.1055/a-1013-6593,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,uncovering the protective mechanism of taohong siwu decoction against diabetic retinopathy via hif-1 signaling pathway based on network analysis and experimental validation,2020,10.1186/s12906-020-03086-0,0,1,"approach, vitro, fertilization, pharmacology, intelligence","approach, vitro, fertilization, pharmacology, intelligence",Other,
,improvement of the diagnostic accuracy for intracranial haemorrhage using deep learning-based computer-assisted detection,2021,10.1007/s00234-020-02566-x,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Diagnostic Accuracy Study,
,identification of hub genes in anaplastic thyroid carcinoma: evidence from bioinformatics analysis,2020,10.1177/1533033820962135,0,15,"cancer, analysis, genes, learning, machine","cancer, analysis, genes, learning, machine",Other,
,integrating genomics and clinical data for statistical analysis by using genome mining (gemini) and fast healthcare interoperability resources (fhir): system design and implementation,2020,10.2196/19879,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,machine learning to predict mortality and critical events in a cohort of patients with covid-19 in new york city: model development and validation,2020,10.2196/24018,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,capturing the patient's perspective: a review of advances in natural language processing of health-related text,2017,10.15265/iy-2017-029,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,making sense of big textual data for health care: findings from the section on clinical natural language processing,2017,10.15265/iy-2017-027,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,changes in dynamic resting state network connectivity following aphasia therapy,2018,10.1007/s11682-017-9771-2,0,11,"disease, using, alzheimer, network, deep","disease, using, alzheimer, network, deep",Other,
,an interpretable classification framework for information extraction from online healthcare forums,2017,10.1155/2017/2460174,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,neural network-based coronary heart disease risk prediction using feature correlation analysis,2017,10.1155/2017/2780501,0,6,"based, heart, failure, recognition, fusion","based, heart, failure, recognition, fusion",Other,
,semantic modeling for exposomics with exploratory evaluation in clinical context,2017,10.1155/2017/3818302,0,0,"clinical, using, language, natural, processing","clinical, using, language, natural, processing",Other,
,a benchmark for endoluminal scene segmentation of colonoscopy images,2017,10.1155/2017/4037190,0,17,"convolutional, neural, based, network, using","convolutional, neural, based, network, using",Benchmark / Technical Evaluation,
,hybrid disease diagnosis using multiobjective optimization with evolutionary parameter optimization,2017,10.1155/2017/5907264,0,18,"learning, machine, prediction, patients, mortality","learning, machine, prediction, patients, mortality",Other,
,the research of clinical decision support system based on three-layer knowledge base model,2017,10.1155/2017/6535286,0,12,"clinical, knowledge, support, decision, based","clinical, knowledge, support, decision, based",Other,
,data mining for biomedicine and healthcare,2017,10.1155/2017/7107629,0,3,"data, mining, based, healthcare, medicine","data, mining, based, healthcare, medicine",Other,
,semiautomatic segmentation of glioma on mobile devices,2017,10.1155/2017/8054939,0,8,"segmentation, deep, learning, detection, brain","segmentation, deep, learning, detection, brain",Other,
,therapy decision support based on recommender system methods,2017,10.1155/2017/8659460,0,13,"artificial, ai, intelligence, based, clinical","artificial, ai, intelligence, based, clinical",Other,
,focal liver lesions: computer-aided diagnosis by using contrast-enhanced us cine recordings,2018,10.1148/radiol.2017170365,0,20,"deep, learning, segmentation, risk, based","deep, learning, segmentation, risk, based",Other,
,radiomics in paediatric neuro-oncology: a multicentre study on mri texture analysis,2018,10.1002/nbm.3781,0,2,"radiomics, radiogenomics, review, lung, cancer","radiomics, radiogenomics, review, lung, cancer",Other,
,genotype-driven identification of a molecular network predictive of advanced coronary calcium in clinseq® and framingham heart study cohorts,2017,10.1186/s12918-017-0474-5,0,10,"analysis, covid, 19, genes, based","analysis, covid, 19, genes, based",Other,
